date,tmean_C
2025-08-01,26.9
2025-08-02,29.3
2025-08-03,29.6
2025-08-04,31.0
2025-08-05,32.9
2025-08-06,33.0
2025-08-07,30.5
2025-08-08,29.9
2025-08-09,27.9
2025-08-10,26.8
2025-08-11,27.1
2025-08-12,27.7
2025-08-13,27.5
2025-08-14,26.7
2025-08-15,28.6
2025-08-16,29.2
2025-08-17,30.6
2025-08-18,31.8
2025-08-19,30.8
2025-08-20,31.4
2025-08-21,32.0
2025-08-22,30.4
2025-08-23,31.5
2025-08-24,32.0
2025-08-25,31.1
2025-08-26,30.8
2025-08-27,31.5
2025-08-28,29.6
2025-08-29,29.3
2025-08-30,32.1
2025-08-31,31.6
